代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,18.88,-0.1,-0.527,18.89,18.92,18.98,19.15,19.15,18.88,235562.0,4459591.0,11:34:59
bj920001,纬达光电,18.35,0.15,0.824,18.35,18.38,18.2,18.2,18.82,17.88,1060155.0,19471739.0,11:34:59
bj920002,万达轴承,101.31,-0.38,-0.374,101.31,101.44,101.69,101.85,102.65,101.13,196604.0,19966681.0,11:34:59
bj920003,中诚咨询,31.7,-0.17,-0.533,31.7,31.75,31.87,31.81,31.88,31.57,168483.0,5337079.0,11:34:59
bj920005,鼎佳精密,39.28,-0.24,-0.607,39.19,39.28,39.52,39.27,39.43,39.06,174671.0,6841255.0,11:34:59
bj920006,晟楠科技,27.35,0.01,0.037,27.35,27.36,27.34,27.58,27.79,27.33,1588095.0,43719118.0,11:34:59
bj920007,酉立智能,70.51,-0.71,-0.997,70.36,70.67,71.22,71.22,71.6,70.2,214911.0,15257673.0,11:34:59
bj920008,成电光信,30.59,-0.36,-1.163,30.59,30.68,30.95,30.94,30.98,30.57,373637.0,11469741.0,11:34:59
bj920009,丹娜生物,76.32,-0.32,-0.418,76.32,76.33,76.64,76.48,76.7,76.02,137781.0,10504765.0,11:34:59
bj920010,凯添燃气,11.48,0.35,3.145,11.44,11.47,11.13,11.07,11.58,11.02,5818897.0,66049171.0,11:34:59
bj920014,特瑞斯,12.72,-0.2,-1.548,12.72,12.75,12.92,12.98,12.98,12.7,1421337.0,18181434.0,11:34:59
bj920015,锦华新材,50.28,-1.22,-2.369,50.26,50.29,51.5,51.41,51.51,50.26,851403.0,43092065.0,11:34:59
bj920016,中草香料,20.12,-0.03,-0.149,20.08,20.13,20.15,20.15,20.24,20.05,172917.0,3482406.0,11:34:59
bj920017,星昊医药,18.97,0.18,0.958,18.93,18.97,18.79,18.8,19.06,18.8,806238.0,15283191.0,11:34:59
bj920018,宏远股份,33.49,-1.28,-3.681,33.3,33.49,34.77,34.35,34.35,32.94,2897946.0,96621686.0,11:34:59
bj920019,铜冠矿建,23.34,-0.06,-0.256,23.35,23.38,23.4,23.43,23.68,23.18,2350979.0,55109492.0,11:34:59
bj920020,泰凯英,17.11,0.0,0.0,17.1,17.11,17.11,17.11,17.13,17.04,590079.0,10081718.0,11:34:59
bj920021,流金科技,13.29,0.19,1.45,13.29,13.31,13.1,13.14,13.58,13.01,23885611.0,319670033.0,11:34:59
bj920022,世昌股份,29.73,-0.17,-0.569,29.73,29.78,29.9,29.88,29.89,29.69,197052.0,5860891.0,11:34:59
bj920023,田野股份,4.55,-0.02,-0.438,4.55,4.56,4.57,4.57,4.57,4.54,2846202.0,12958436.0,11:34:59
bj920026,卓兆点胶,37.9,0.04,0.106,37.9,38.02,37.86,37.99,38.15,37.49,332120.0,12570614.0,11:34:59
bj920027,交大铁发,21.87,-0.08,-0.364,21.71,21.86,21.95,21.9,22.01,21.7,278358.0,6061163.0,11:34:59
bj920029,开发科技,89.97,2.76,3.165,89.97,89.98,87.21,88.18,90.19,88.06,1248334.0,111575319.0,11:34:59
bj920030,德众汽车,6.66,-0.07,-1.04,6.66,6.67,6.73,6.73,6.76,6.66,801000.0,5361340.0,11:34:59
bj920033,康普化学,17.42,-0.11,-0.627,17.4,17.44,17.53,17.47,17.63,17.35,534579.0,9337673.0,11:34:59
bj920035,精创电气,38.85,0.01,0.026,38.8,38.85,38.84,38.72,39.2,38.4,157777.0,6102975.0,11:34:59
bj920037,广信科技,84.41,0.71,0.848,84.31,84.41,83.7,83.63,85.21,83.03,784595.0,66209542.0,11:34:59
bj920039,国义招标,11.52,-0.18,-1.538,11.52,11.53,11.7,11.65,11.65,11.5,1193448.0,13806579.0,11:34:59
bj920045,蘅东光,371.0,-4.77,-1.269,371.21,371.5,375.77,364.99,379.0,362.0,660670.0,245632977.0,11:34:59
bj920046,亿能电力,29.3,-0.61,-2.039,29.28,29.3,29.91,29.17,29.59,28.5,6555410.0,189575959.0,11:34:59
bj920047,诺思兰德,22.7,-0.35,-1.518,22.69,22.71,23.05,22.88,23.19,22.62,937345.0,21318481.0,11:34:59
bj920050,爱舍伦,37.52,1.23,3.389,37.52,37.55,36.29,36.49,37.68,36.36,1698148.0,63152131.0,11:34:59
bj920056,能之光,26.57,-0.02,-0.075,26.56,26.6,26.59,26.43,26.74,26.38,457511.0,12138747.0,11:34:59
bj920057,百甲科技,7.04,0.0,0.0,7.04,7.05,7.04,6.97,7.23,6.96,2349517.0,16725540.0,11:34:59
bj920058,华洋赛车,31.74,0.0,0.0,31.66,31.74,31.74,31.77,31.88,31.53,149345.0,4741390.0,11:34:59
bj920060,万源通,35.51,-0.86,-2.365,35.46,35.55,36.37,35.3,35.97,34.81,5515720.0,194849306.0,11:34:59
bj920061,西磁科技,30.85,0.01,0.032,30.85,30.9,30.84,30.94,31.41,30.74,697556.0,21690871.0,11:34:59
bj920062,科润智控,12.19,-0.39,-3.1,12.19,12.2,12.58,12.4,12.44,12.13,5720748.0,70135024.0,11:34:59
bj920066,科拜尔,26.83,-0.93,-3.35,26.84,26.88,27.76,26.83,27.71,26.82,1120030.0,30461463.0,11:34:59
bj920068,天工股份,22.39,0.91,4.236,22.39,22.46,21.48,21.38,23.68,21.18,8577445.0,192715720.0,11:34:59
bj920075,柏星龙,27.18,0.13,0.481,27.19,27.2,27.05,27.21,27.25,26.89,473698.0,12827797.0,11:34:59
bj920076,国亮新材,24.43,0.04,0.164,24.4,24.46,24.39,24.2,24.64,23.95,1270266.0,30772042.0,11:34:59
bj920077,吉林碳谷,18.37,0.01,0.054,18.36,18.37,18.36,18.35,18.84,18.17,6226860.0,115687637.0,11:34:59
bj920080,奥美森,27.36,-0.12,-0.437,27.36,27.37,27.48,27.57,27.57,27.33,194711.0,5329390.0,11:34:59
bj920082,方正阀门,17.26,-0.18,-1.032,17.26,17.28,17.44,17.5,17.5,17.21,700746.0,12110637.0,11:34:59
bj920086,科马材料,34.53,0.87,2.585,34.55,34.59,33.66,33.94,34.9,33.66,1631143.0,56040152.0,11:34:59
bj920087,秋乐种业,17.44,-0.06,-0.343,17.44,17.45,17.5,17.0,17.73,16.8,5521501.0,95479527.0,11:34:59
bj920088,科力股份,49.84,-0.32,-0.638,49.76,49.82,50.16,50.04,52.1,49.37,3713467.0,186591104.0,11:34:59
bj920089,禾昌聚合,21.39,0.38,1.809,21.38,21.39,21.01,20.99,21.99,20.91,3658664.0,78596575.0,11:34:59
bj920090,同辉信息,6.5,0.18,2.848,6.49,6.5,6.32,6.32,6.8,6.32,13436559.0,88651813.0,11:34:59
bj920091,大鹏工业,66.3,-3.41,-4.892,66.3,66.34,69.71,69.06,69.1,64.99,1341957.0,89109189.0,11:34:59
bj920092,汉鑫科技,39.6,0.2,0.508,39.6,39.87,39.4,39.0,40.2,38.8,1314537.0,51875189.0,11:34:59
bj920098,科隆新材,29.41,-0.83,-2.745,29.4,29.53,30.24,30.0,30.13,29.39,824976.0,24460521.0,11:34:59
bj920099,瑞华技术,33.04,0.12,0.365,33.01,33.04,32.92,33.22,33.68,32.92,298034.0,9913282.0,11:34:59
bj920100,三协电机,64.39,-1.4,-2.128,64.39,64.58,65.79,65.51,65.68,64.23,539353.0,34958894.0,11:34:59
bj920101,志高机械,40.53,-0.78,-1.888,40.45,40.54,41.31,41.11,41.12,40.39,650397.0,26442408.0,11:34:59
bj920106,林泰新材,77.5,-0.6,-0.768,77.5,77.6,78.1,78.03,78.1,77.32,249721.0,19382243.0,11:34:59
bj920108,宏海科技,13.26,-0.03,-0.226,13.24,13.26,13.29,13.26,13.27,13.17,234163.0,3096055.0,11:34:59
bj920110,雷特科技,37.61,-0.18,-0.476,37.6,37.72,37.79,37.8,37.86,37.5,35866.0,1349122.0,11:34:59
bj920111,聚星科技,24.62,-0.36,-1.441,24.63,24.67,24.98,24.8,24.87,24.56,720133.0,17752799.0,11:34:59
bj920112,巴兰仕,38.21,0.25,0.659,38.17,38.2,37.96,38.1,38.29,38.02,130881.0,4991223.0,11:34:59
bj920116,星图测控,106.06,0.7,0.664,106.06,106.12,105.36,105.45,107.99,104.16,1835670.0,195509128.0,11:34:59
bj920118,太湖远大,23.88,0.0,0.0,23.88,23.92,23.88,23.98,24.5,23.8,390932.0,9450021.0,11:34:59
bj920119,美德乐,108.79,1.0,0.928,108.79,109.02,107.79,107.39,109.97,106.38,816649.0,88279982.0,11:34:59
bj920121,江天科技,41.48,-0.05,-0.12,41.48,41.6,41.53,41.4,41.79,41.26,143686.0,5956537.0,11:34:59
bj920122,中纺标,32.57,-0.32,-0.973,32.54,32.57,32.89,32.7,32.92,32.49,176718.0,5770784.0,11:34:59
